Common Name	Scientific Name	Synonymes	Domain	SubDomain	SuperKingdom	Kingdom	SubKingdom	InfraKingdom	SuperPhylum (subDivision)	Phylum (division)	SubPhylum (subDivision)	InfraPhylum	SuperClass	Class	SubClass	InfraClass	SubterClass (?)	SuperOrder	Order	SubOrder	InfraOrder	MicroOrder	SuperFamily	Family	SubFamily	Tribe	SubTribe	Genus	GenusSynonyme	SubGenus	Species	SpeciesSynonyme	SubSpecies	Country	CountryAlphaCode2	CountryAlphaCode3	Image	Source
	Balistapus undulatus		Eukaryota	Unikonta	Opisthokonta	Animalia																		Balistidae				Balistapus			Balistapus undulatus						1	
	Chroicocephalus ridibundus		Eukaryota	Unikonta	Opisthokonta	Animalia																		Laridae	Larinae			Chroicocephalus			Chroicocephalus ridibundus						1	
	Clavelina lepadiformis		Eukaryota	Unikonta	Opisthokonta	Animalia																									Clavelina lepadiformis						1	
	Copepoda		Eukaryota	Unikonta	Opisthokonta	Animalia	Eumetazoa			Arthropoda	Crustacea		Multicrustacea	Hexanauplia	Copepoda	Neocopepoda ; Progymnoplea															Copepoda							
	Cuniculus paca		Eukaryota	Unikonta	Opisthokonta	Animalia				Chordata				Mammalia					Rodentia	Hystricomorpha	Hystricognathi		Cavioidea	Cuniculidae				Cuniculus			Cuniculus paca							
	Cuniculus taczanowskii		Eukaryota	Unikonta	Opisthokonta	Animalia				Chordata				Mammalia					Rodentia	Hystricomorpha	Hystricognathi		Cavioidea	Cuniculidae				Cuniculus			Cuniculus taczanowskii							
	Cuniculus hernandezi		Eukaryota	Unikonta	Opisthokonta	Animalia				Chordata				Mammalia					Rodentia	Hystricomorpha	Hystricognathi		Cavioidea	Cuniculidae				Cuniculus			Cuniculus hernandezi							
	Dasyprocta punctata		Eukaryota	Unikonta	Opisthokonta	Animalia				Chordata				Mammalia					Rodentia	Hystricomorpha	 Hystricognathi			Dasyproctidae				Dasyprocta			Dasyprocta punctata							
	Dasyprocta punctata bellula		Eukaryota	Unikonta	Opisthokonta	Animalia				Chordata				Mammalia					Rodentia	Hystricomorpha	 Hystricognathi			Dasyproctidae				Dasyprocta			Dasyprocta punctata	Dasyprocta punctata bellula						
	Dasyprocta punctata boliviae		Eukaryota	Unikonta	Opisthokonta	Animalia				Chordata				Mammalia					Rodentia	Hystricomorpha	 Hystricognathi			Dasyproctidae				Dasyprocta			Dasyprocta punctata	Dasyprocta punctata boliviae						
	Dasyprocta punctata callida		Eukaryota	Unikonta	Opisthokonta	Animalia				Chordata				Mammalia					Rodentia	Hystricomorpha	 Hystricognathi			Dasyproctidae				Dasyprocta			Dasyprocta punctata	Dasyprocta punctata callida						
	Dasyprocta punctata chiapensis		Eukaryota	Unikonta	Opisthokonta	Animalia				Chordata				Mammalia					Rodentia	Hystricomorpha	 Hystricognathi			Dasyproctidae				Dasyprocta			Dasyprocta punctata	Dasyprocta punctata chiapensis						
	Dasyprocta punctata chocoensis		Eukaryota	Unikonta	Opisthokonta	Animalia				Chordata				Mammalia					Rodentia	Hystricomorpha	 Hystricognathi			Dasyproctidae				Dasyprocta			Dasyprocta punctata	Dasyprocta punctata chocoensis						
	Dasyprocta punctata columbiana		Eukaryota	Unikonta	Opisthokonta	Animalia				Chordata				Mammalia					Rodentia	Hystricomorpha	 Hystricognathi			Dasyproctidae				Dasyprocta			Dasyprocta punctata	Dasyprocta punctata columbiana						
	Dasyprocta punctata dariensis		Eukaryota	Unikonta	Opisthokonta	Animalia				Chordata				Mammalia					Rodentia	Hystricomorpha	 Hystricognathi			Dasyproctidae				Dasyprocta			Dasyprocta punctata	Dasyprocta punctata dariensis						
	Dasyprocta punctata isthmica		Eukaryota	Unikonta	Opisthokonta	Animalia				Chordata				Mammalia					Rodentia	Hystricomorpha	 Hystricognathi			Dasyproctidae				Dasyprocta			Dasyprocta punctata	Dasyprocta punctata isthmica						
	Dasyprocta punctata nuchalis		Eukaryota	Unikonta	Opisthokonta	Animalia				Chordata				Mammalia					Rodentia	Hystricomorpha	 Hystricognathi			Dasyproctidae				Dasyprocta			Dasyprocta punctata	Dasyprocta punctata nuchalis						
	Dasyprocta punctata pallidiventris		Eukaryota	Unikonta	Opisthokonta	Animalia				Chordata				Mammalia					Rodentia	Hystricomorpha	 Hystricognathi			Dasyproctidae				Dasyprocta			Dasyprocta punctata	Dasyprocta punctata pallidiventris						
	Dasyprocta punctata pandora		Eukaryota	Unikonta	Opisthokonta	Animalia				Chordata				Mammalia					Rodentia	Hystricomorpha	 Hystricognathi			Dasyproctidae				Dasyprocta			Dasyprocta punctata	Dasyprocta punctata pandora						
	Dasyprocta punctata punctata		Eukaryota	Unikonta	Opisthokonta	Animalia				Chordata				Mammalia					Rodentia	Hystricomorpha	 Hystricognathi			Dasyproctidae				Dasyprocta			Dasyprocta punctata	Dasyprocta punctata punctata						
	Dasyprocta punctata richmondi		Eukaryota	Unikonta	Opisthokonta	Animalia				Chordata				Mammalia					Rodentia	Hystricomorpha	 Hystricognathi			Dasyproctidae				Dasyprocta			Dasyprocta punctata	Dasyprocta punctata richmondi						
	Dasyprocta punctata underwoodi		Eukaryota	Unikonta	Opisthokonta	Animalia				Chordata				Mammalia					Rodentia	Hystricomorpha	 Hystricognathi			Dasyproctidae				Dasyprocta			Dasyprocta punctata	Dasyprocta punctata underwoodi						
	Dasyprocta punctata urucuma		Eukaryota	Unikonta	Opisthokonta	Animalia				Chordata				Mammalia					Rodentia	Hystricomorpha	 Hystricognathi			Dasyproctidae				Dasyprocta			Dasyprocta punctata	Dasyprocta punctata urucuma						
	Dasyprocta punctata variegata		Eukaryota	Unikonta	Opisthokonta	Animalia				Chordata				Mammalia					Rodentia	Hystricomorpha	 Hystricognathi			Dasyproctidae				Dasyprocta			Dasyprocta punctata	Dasyprocta punctata variegata						
	Dasyprocta punctata yucatanica		Eukaryota	Unikonta	Opisthokonta	Animalia				Chordata				Mammalia					Rodentia	Hystricomorpha	 Hystricognathi			Dasyproctidae				Dasyprocta			Dasyprocta punctata	Dasyprocta punctata yucatanica						
	Dasyprocta punctata yungarum		Eukaryota	Unikonta	Opisthokonta	Animalia				Chordata				Mammalia					Rodentia	Hystricomorpha	 Hystricognathi			Dasyproctidae				Dasyprocta			Dasyprocta punctata	Dasyprocta punctata yungarum						
	Dasyprocta punctata zamorae		Eukaryota	Unikonta	Opisthokonta	Animalia				Chordata				Mammalia					Rodentia	Hystricomorpha	 Hystricognathi			Dasyproctidae				Dasyprocta			Dasyprocta punctata	Dasyprocta punctata zamorae						
	Diazona																														Diazona						1	
	Diazona angulata																														Diazona	Diazona angulata						
	Diazona carnosa																														Diazona	Diazona carnosa						
	Diazona chinensis																														Diazona	Diazona chinensis						
	Diazona formosa																														Diazona	Diazona formosa						
	Diazona violacea																														Diazona	Diazona violacea					1	
	Didemnum maculosum																														Didemnum maculosum						1	
	Didemnum molle																																					
	Eudistoma sp																														Eudistoma sp						1	
	Gammerus heteroclitus	Gammerus heteroclitus	Eukaryota	Unikonta	Opisthokonta	Animalia	Bilateria	Protostomia	Ecdysozoa	Arthropoda	Crustacea		Multicrustacea	Malacostraca	Eumalacostraca			Peracarida	Tanaidacea	Tanaidomorpha			Paratanaoidea	Paratanaidae				Gammarus	Gammerus		Gammerus heteroclitus						0	http://www.marinespecies.org/aphia.php?p=taxdetails&id=247610
	Lingulodinium polyedrum	Lingulodinium polyedra	Eukaryota			Chromista	Harosa	Halvaria		Miozoa	Myzozoa	Dinozoa	Dinoflagellata	Dinophyceae					Gonyaulacales					Gonyaulacaceae				Lingulodinium			Lingulodinium polyedrum	Lingulodinium polyedra					1	https://fr.wikipedia.org/wiki/Lingulodinium_polyedra
	Michotamia aurata	Asilus auratus	Eukaryota	Unikonta	Opisthokonta	Animalia								Insecta										Asilidae	Ommatiinae			Michotamia			Michotamia aurata						1	
	Nephtheis fascicularis																														Nephtheis fascicularis						1	
	Pelomyxa palustris		Eukaryota	Unikonta	Opisthokonta	Animalia																		Pelomyxidae				Pelomyxa			Pelomyxa palustris						1	
	Phyllidia varicosa		Eukaryota	Unikonta	Opisthokonta	Animalia																		Phyllidiidae				Phyllidia										
	Pycnoclavella taureanensis																														Pycnoclavella taureanensis						1	
	Theraphosa blondi		Eukaryota	Unikonta	Opisthokonta	Animalia																									Theraphosa blondi						1	
