Mineral Name,Mineral Name (plain),RRUFF Chemistry (plain),IMA Chemistry (plain),Chemistry Elements,IMA Number,Database ID,Country of Type Locality,IMA Status,Structural Groupname,Crystal Systems,Valence Elements,Image
Playfairite,Playfairite,"Pb2+16(Sb3+,As3+)19S2-44Cl","Pb16(Sb,As)19S44Cl",Pb Sb As S Cl,IMA1966-019,3659,Canada,Approved,Madocite,monoclinic,Pb^2+ Sb^3+ As^3+ S^2- Cl,
Plimerite,Plimerite,Zn2+2Fe3+3(PO4)3(OH)4(H2O),Zn2Fe3+3(PO4)3(OH)4(H2O),Zn Fe P O H,IMA2008-013,5672,Australia,Approved,Rockbridgeite,orthorhombic,Zn^2+ Fe^3+ P O H,
Pliniusite,Pliniusite,Ca5(V5+O4)3F,Ca5(VO4)3F,Ca V O F,IMA2018-031,6775,Russia,Pending publication|Approved,Apatite,hexagonal,Ca V^5+ O F,
Plombièrite,Plombierite,Ca5Si6O16(OH)2·7H2O,Ca4Si6O16(OH)2(H2O)2·(Ca·5H2O),Ca Si O H,,5136,France,Approved|Redefined,Tobermorite,monoclinic|unknown,Ca Si O H,
Plumboagardite,Plumboagardite,"Cu2+6(Pb2+,La3+,Nd3+,Ce3+,Ca)(As5+O4)3(OH)6·3H2O","(Pb,REE,Ca)Cu6(AsO4)3(OH)6·3H2O",Pb REE Ca Cu As O H,IMA2003-031a,5466,Germany,Approved,Mixite,hexagonal,Cu^2+ Pb^2+ La^3+ Nd^3+ Ce^3+ Ca As^5+ O H,
Plumboferrite,Plumboferrite,"Pb2(Fe3+,Mn2+,Mg)11O19","Pb2(Fe3+,Mn2+,Mg)11O19",Pb Fe Mn Mg O,,3661,Sweden,Grandfathered|Approved,Plumboferrite,hexagonal,Pb Fe^3+ Mn^2+ Mg O,
Plumbogummite,Plumbogummite,Pb2+Al3(PO4)(PO3OH)(OH)6,PbAl3(PO4)(PO3OH)(OH)6,Pb Al P O H,,3662,France,Approved|Redefined,Alunite-crandallite,hexagonal,Pb^2+ Al P O H,
Plumbojarosite,Plumbojarosite,Pb2+Fe3+6(S6+O4)4(OH)12,Pb0.5Fe3+3(SO4)2(OH)6,Pb Fe S O H,,3663,USA,Approved|Redefined,Alunite-Alunite,hexagonal,Pb^2+ Fe^3+ S^6+ O H,
Plumbonacrite,Plumbonacrite,Pb2+5(CO3)3O(OH)2,Pb5(CO3)3O(OH)2,Pb C O H,,5306,United Kingdom,Approved|Redefined, ,hexagonal,Pb^2+ C O H,
Plumbopalladinite,Plumbopalladinite,Pb2Pd3,Pd3Pb2,Pd Pb,IMA1970-020,3665,Russia,Approved, ,hexagonal,Pb Pd,
Plumboperloffite,Plumboperloffite,Pb2+Mn2+2Fe3+2(PO4)3(OH)3,PbMn2+2Fe3+2(PO4)3(OH)3,Pb Mn Fe P O H,IMA2020-007,7024,Australia,Pending publication|Approved,Bjarebyite,,Pb^2+ Mn^2+ Fe^3+ P O H,
Plumbopharmacosiderite,Plumbopharmacosiderite,Pb2+0.5Fe3+4(As5+O4)3(OH)4·5H2O,Pb0.5Fe3+4(AsO4)3(OH)4·5H2O,Pb Fe As O H,IMA2016-109,6636,Italy,Approved,Pharmacosiderite,cubic,Pb^2+ Fe^3+ As^5+ O H,
Plumbophyllite,Plumbophyllite,Pb2+2Si4O10·H2O,Pb2Si4O10·H2O,Pb Si O H,IMA2008-025,5684,USA,Approved, ,orthorhombic,Pb^2+ Si O H,
Plumboselite,Plumboselite,Pb2+3O2(Se4+O3),Pb3O2(SeO3),Pb O Se,IMA2010-028,5855,Namibia,Approved, ,orthorhombic,Pb^2+ O Se^4+,
Plumbotellurite,Plumbotellurite,Pb2+Te4+O3,Pb(Te4+O3),Pb Te O,IMA1980-102,3667,Kazakhstan,Approved, ,orthorhombic,Pb^2+ Te^4+ O,
Plumbotsumite,Plumbotsumite,Pb2+5Si4O8(OH)10,Pb5Si4O8(OH)10,Pb Si O H,IMA1979-049,3668,Namibia,Approved, ,triclinic|orthorhombic,Pb^2+ Si O H,
Plumosite,Plumosite,Pb2+2Sb3+2S2-5,Pb2Sb2S5,Pb Sb S,,5467,Germany,Questionable mineral species|Approved, ,,Pb^2+ Sb^3+ S^2-,
Podlesnoite,Podlesnoite,BaCa2(CO3)2F2,Ca2Ba(CO3)2F2,Ca Ba C O F,IMA2006-033,5545,Russia,Approved, ,orthorhombic,Ba Ca C O F,
Poirierite,Poirierite,Mg2SiO4,Mg2SiO4,Mg Si O,IMA2018-026b,6995,China (meteorite) / Australia (meteorite) / USA (meteorite),Pending publication|Approved, ,orthorhombic,Mg Si O,
Poitevinite,Poitevinite,Cu2+S6+O4·H2O,Cu(SO4)·H2O,Cu S O H,IMA1963-010,3669,Canada,Approved, ,triclinic,Cu^2+ S^6+ O H,
Pokhodyashinite,Pokhodyashinite,Cu2Tl3Sb5As2S13,Cu2Tl3Sb5As2S13,Cu Tl Sb As S,IMA2019-130,7013,Russia,Pending publication|Approved, ,,Cu Tl Sb As S,
Pokrovskite,Pokrovskite,Mg2CO3(OH)2,Mg2(CO3)(OH)2,Mg C O H,IMA1982-054,3670,Kazakhstan,Approved,Malachite,monoclinic,Mg C O H,
Polarite,Polarite,"Pd(Bi,Pb)","Pd(Bi,Pb)",Pd Bi Pb,IMA1969-032,3671,Russia,Approved, ,orthorhombic,Pd Bi Pb,
Poldervaartite,Poldervaartite,Ca2(SiO3OH)(OH),"Ca(Ca,Mn)(SiO3OH)(OH)",Ca Mn Si O H,IMA1992-012,3672,South Africa,Approved, ,orthorhombic,Ca Si O H,
Polekhovskyite,Polekhovskyite,MoNiP2,MoNiP2,Mo Ni P,IMA2018-147,6872,Israel,Pending publication|Approved, ,hexagonal,Mo Ni P,
Polezhaevaite-(Ce),Polezhaevaite-(Ce),NaSrCeF6,NaSrCeF6,Na Sr Ce F,IMA2009-015,5744,Russia,Approved,Gagarinite,hexagonal,Na Sr Ce F,
Polhemusite,Polhemusite,"(Zn,Hg)S","(Zn,Hg)S",Zn Hg S,IMA1972-017,3673,USA,Approved, ,cubic|tetragonal,Zn Hg S,
Polkanovite,Polkanovite,Rh12As7,Rh12As7,Rh As,IMA1997-030,3674,Russia,Approved, ,hexagonal,Rh As,
Polkovicite,Polkovicite,"(Fe,Pb)3(Ge,Fe)1-xS4","(Fe,Pb)3(Ge,Fe)1-xS4",Fe Pb Ge S,IMA1974-037,3675,Poland,Approved, ,,Fe Pb Ge S,
Polloneite,Polloneite,Ag1+Pb2+46As3+26Sb3+23S2-120,AgPb46As26Sb23S120,Ag Pb As Sb S,IMA2014-093,6391,Italy,Approved,Sartorite,monoclinic,Ag^1+ Pb^2+ As^3+ Sb^3+ S^2-,
Pollucite,Pollucite,Cs(Si2Al)O6·nH2O,Cs(Si2Al)O6·nH2O,Cs Si Al O H,,3676,Italy,Approved, ,cubic|tetragonal,Cs Si Al O H,
Polyakovite-(Ce),Polyakovite-(Ce),"(Ce3+,Ca)4MgCr3+2(Ti4+,Nb5+)2Si4O22","(Ce,Ca)4MgCr2(Ti,Nb)2Si4O22",Ce Ca Mg Cr Ti Nb Si O,IMA1998-029,3677,Russia,Approved,Chevkinite,monoclinic,Ce^3+ Ca Mg Cr^3+ Ti^4+ Nb^5+ Si O,
Polyarsite,Polyarsite,Na7CaMgCu2+2(As5+O4)4F2Cl,Na7CaMgCu2(AsO4)4F2Cl,Na Ca Mg Cu As O F Cl,IMA2019-058,6946,Russia,Pending publication|Approved, ,monoclinic,Na Ca Mg Cu^2+ As^5+ O F Cl,
Polybasite,Polybasite,"Cu(Ag,Cu)6Ag9Sb2S11","[Ag9CuS4][(Ag,Cu)6(Sb,As)2S7]",Ag Cu S Sb As,,3678,Mexico / Germany,Approved|Redefined,Polybasite,monoclinic|hexagonal,Cu Ag Sb S,
Polycrase-(Y),Polycrase-(Y),"Y3+(Ti4+,Nb5+)2(O,OH)6","Y(Ti,Nb)2(O,OH)6",Y Ti Nb O H,IMA1987 s.p.,3679,Norway,Approved|Renamed,Columbite,orthorhombic,Y^3+ Ti^4+ Nb^5+ O H,
Polydymite,Polydymite,Ni2+Ni3+2S2-4,Ni2+Ni3+2S4,Ni S,,3680,Germany,Grandfathered|Approved,Spinel,cubic,Ni^2+ Ni^3+ S^2-,
Polyhalite,Polyhalite,K2Ca2Mg(S6+O4)4·2H2O,K2Ca2Mg(SO4)4·2H2O,K Ca Mg S O H,,3681,United Kingdom,Grandfathered|Approved, ,triclinic,K Ca Mg S^6+ O H,
Polylithionite,Polylithionite,KLi2AlSi4O10F2,KLi2AlSi4O10F2,K Li Al Si O F,,3682,Denmark (Greenland),Approved,Mica,monoclinic,K Li Al Si O F,
Polyphite,Polyphite,Na6(Na4Ca2)2Na2Ti4+2Na2Ti4+2(Si2O7)2(PO4)6O4F4,Na6(Na4Ca2)2Na2Ti2Na2Ti2(Si2O7)2(PO4)6O4F4,Na Ca Ti Si O P F,IMA1990-025,5137,Russia,Approved|Redefined,Seidozerite-Murmanite,triclinic,Na Ca Ti^4+ Si O P F,
Ponomarevite,Ponomarevite,K4Cu2+4OCl10,K4Cu4OCl10,K Cu O Cl,IMA1986-040,3685,Russia,Approved, ,monoclinic,K Cu^2+ O Cl,
Popovite,Popovite,Cu2+5O2(As5+O4)2,Cu5O2(AsO4)2,Cu O As,IMA2013-060,6221,Russia,Approved, ,triclinic,Cu^2+ O As^5+,
Poppiite,Poppiite,"Ca2V3+V3+2(Si2O7)(SiO4)(OH,O)2·H2O","Ca2V3+V3+2(Si2O7)(SiO4)(OH,O)2·H2O",Ca V Si O H,IMA2005-018,5299,Italy,Approved,Pumpellyite,monoclinic,Ca V^3+ Si O H,
Popugaevaite,Popugaevaite,Ca3[B5O6(OH)6]FCl2·8H2O,Ca3[B5O6(OH)6]FCl2·8H2O,Ca B O H F Cl,IMA2019-115,6999,Russia,Pending publication|Approved,Brianroulstonite,monoclinic,Ca B O H F Cl,
Portlandite,Portlandite,Ca(OH)2,Ca(OH)2,Ca O H,,3686,United Kingdom,Grandfathered|Approved,Brucite,hexagonal,Ca O H,
Pošepnýite,Posepnyite,(Cu+13[box]3)(Hg2+4Cu+12)Sb3+4(Se2-12.5[box]0.5),(Cu+3[box]3)Σ6(Hg2+4Cu+2)Σ6Sb4(Se12.5[box]0.5)Σ13,Cu Hg Sb Se,IMA2018-121a,6984,Czech Republic,Pending publication|Approved,Tennantite,cubic,Cu Hg^2+ Sb^3+ Se^2-,
Posnjakite,Posnjakite,Cu2+4S6+O4(OH)6·H2O,Cu4(SO4)(OH)6·H2O,Cu S O H,IMA1967-001,3687,Kazakhstan,Approved, ,monoclinic,Cu^2+ S^6+ O H,
Postite,Postite,Mg(H2O)6Al2(OH)2(H2O)8(V5+10O28)·13H2O,Mg(H2O)6Al2(OH)2(H2O)8(V10O28)·13H2O,Mg H O Al V,IMA2011-060,6003,USA,Approved, ,orthorhombic,Mg H O Al V^5+,
Potarite,Potarite,PdHg,PdHg,Pd Hg,,3688,Guyana,Grandfathered|Approved, ,tetragonal,Pd Hg,
Potassic-arfvedsonite,Potassic-arfvedsonite,KNa2Fe2+4Fe3+Si8O22(OH)2,KNa2(Fe2+4Fe3+)Si8O22(OH)2,K Na Fe Si O H,IMA2003-043,5247,Denmark (Greenland) / Russia,Approved|Redefined,Amphibole,monoclinic,K Na Fe^2+ Fe^3+ Si O H,
Potassiccarpholite,Potassiccarpholite,"K(Mn2+,Li)2Al4Si4O12(OH,F)8","K(Mn2+,Li)2Al4Si4O12(OH,F)8",K Mn Li Al Si O H F,IMA2002-064,5212,USA,Approved,Carpholite,orthorhombic,K Mn^2+ Li Al Si O H F,
Potassic-chloro-hastingsite,Potassic-chloro-hastingsite,KCa2[Fe2+4Fe3+](Si6Al2)O22Cl2,KCa2(Fe2+4Fe3+)(Si6Al2)O22Cl2,K Ca Fe Si Al O Cl,IMA2005-007,5214,Azerbaijan,Approved|Redefined,Amphibole,monoclinic,K Ca Fe^2+ Fe^3+ Si Al O Cl,
Potassic-chloro-pargasite,Potassic-chloro-pargasite,KCa2(Mg4Al)(Si6Al2)O22Cl2,KCa2(Mg4Al)(Si6Al2)O22Cl2,K Ca Mg Al Si O Cl,IMA2001-036,5429,Russia,Approved|Redefined,Amphibole,monoclinic,K Ca Mg Al Si O Cl,
Potassic-ferri-leakeite,Potassic-ferri-leakeite,KNa2(Mg2Fe3+2Li)Si8O22(OH)2,KNa2(Mg2Fe3+2Li)Si8O22(OH)2,K Na Mg Fe Li Si O H,IMA2001-049,3694,Japan,Approved|Redefined,Amphibole,monoclinic,K Na Mg Fe^3+ Li Si O H,
Potassic-ferro-ferri-sadanagaite,Potassic-ferro-ferri-sadanagaite,KCa2(Fe2+3Fe3+2)(Si5Al3)O22(OH)2,KCa2(Fe2+3Fe3+2)(Si5Al3)O22(OH)2,K Ca Fe Si Al O H,IMA1997-035,3693,Russia,Approved|Redefined,Amphibole,,K Ca Fe^2+ Fe^3+ Si Al O H,
Potassic-ferro-ferri-taramite,Potassic-ferro-ferri-taramite,K(NaCa)(Fe2+3Fe3+2)(Si6Al2)O22(OH)2,K(NaCa)(Fe2+3Fe3+2)(Si6Al2)O22(OH)2,K Na Ca Fe Si Al O H,,5471,Tanzania,Approved|Redefined,Amphibole-amphiboles sodic-calcic,,K Na Ca Fe^2+ Fe^3+ Si Al O H,
Potassic-ferro-pargasite,Potassic-ferro-pargasite,KCa2(Fe2+4Al)Si6Al2O22(OH)2,KCa2(Fe2+4Al)(Si6Al2)O22(OH)2,K Ca Fe Al Si O H,IMA2007-053,5470,Japan,Approved|Redefined,Amphibole,monoclinic,K Ca Fe^2+ Al Si O H,
Potassic-ferro-sadanagaite,Potassic-ferro-sadanagaite,KCa2(Fe2+3Al2)(Si5Al3)O22(OH)2,KCa2(Fe2+3Al2)(Si5Al3)O22(OH)2,K Ca Fe Al Si O H,,5516,Japan,Approved|Redefined,Amphibole,,K Ca Fe^2+ Al Si O H,
Potassic-ferro-taramite,Potassic-ferro-taramite,K(NaCa)(Fe2+3Al2)(Si6Al2)O22(OH)2,K(NaCa)(Fe2+3Al2)(Si6Al2)O22(OH)2,K Na Ca Fe Al Si O H,IMA2007-015,5572,Spain,Approved|Redefined,Amphibole,monoclinic,K Na Ca Fe^2+ Al Si O H,
Potassic-fluoro-hastingsite,Potassic-fluoro-hastingsite,KCa2(Fe2+4Fe3+)(Si6Al2)O22F2,KCa2(Fe2+4Fe3+)(Si6Al2)O22F2,K Ca Fe Si Al O F,IMA2005-006,5528,USA,Approved|Redefined,Amphibole,monoclinic,K Ca Fe^2+ Fe^3+ Si Al O F,
Potassic-fluoro-pargasite,Potassic-fluoro-pargasite,KCa2(Mg4Al)Si6Al2O22F2,KCa2(Mg4Al)Si6Al2O22F2,K Ca Mg Al Si O F,IMA2009-091,5820,Madagascar,Approved|Redefined,Amphibole,monoclinic,K Ca Mg Al Si O F,
Potassic-fluoro-richterite,Potassic-fluoro-richterite,K(NaCa)Mg5Si8O22F2,K(NaCa)Mg5Si8O22F2,K Na Ca Mg Si O F,IMA1986-046,5452,Italy,Approved|Redefined,Amphibole,monoclinic,K Na Ca Mg Si O F,
Potassic-hastingsite,Potassic-hastingsite,KCa2(Fe2+4Fe3+)(Si6Al2)O22(OH)2,KCa2(Fe2+4Fe3+)(Si6Al2)O22(OH)2,K Ca Fe Si Al O H,IMA2018-160,6885,China,Pending publication|Approved,Amphibole,monoclinic,K Ca Fe^2+ Fe^3+ Si Al O H,
Potassic-jeanlouisite,Potassic-jeanlouisite,K(NaCa)(Mg4Ti4+)Si8O22O2,K(NaCa)(Mg4Ti)Si8O22O2,K Na Ca Mg Ti Si O,IMA2018-050,6787,USA,Approved,Amphibole,monoclinic,K Na Ca Mg Ti^4+ Si O,
Potassic-magnesio-arfvedsonite,Potassic-magnesio-arfvedsonite,KNa2Mg4Fe3+Si8O22(OH)2,KNa2(Mg4Fe3+)Si8O22(OH)2,K Na Mg Fe Si O H,IMA2016-083,6609,Bulgaria,Approved,Amphibole-amphiboles sodic,monoclinic,K Na Mg Fe^3+ Si O H,
Potassic-magnesio-fluoro-arfvedsonite,Potassic-magnesio-fluoro-arfvedsonite,KNa2(Mg4Fe3+)Si8O22F2,KNa2(Mg4Fe3+)Si8O22F2,K Na Mg Fe Si O F,IMA1985-023,5331,Canada,Approved|Redefined,Amphibole,monoclinic,K Na Mg Fe^3+ Si O F,
Potassic-magnesio-hastingsite,Potassic-magnesio-hastingsite,KCa2(Mg4Fe3+)(Si6Al2)O22(OH)2,KCa2(Mg4Fe3+)(Si6Al2)O22(OH)2,K Ca Mg Fe Si Al O H,IMA2004-027b,5469,Russia,Approved|Redefined,Amphibole,monoclinic,K Ca Mg Fe^3+ Si Al O H,
Potassic-mangani-leakeite,Potassic-mangani-leakeite,KNa2(Mg2Mn3+2Li)Si8O22(OH)2,KNa2(Mg2Mn3+2Li)Si8O22(OH)2,K Na Mg Mn Li Si O H,IMA1992-032,2697,South Africa,Approved|Redefined,Amphibole,,K Na Mg Mn^3+ Li Si O H,
Potassic-pargasite,Potassic-pargasite,KCa2(Mg4Al)(Si6Al2)O22(OH)2,KCa2(Mg4Al)(Si6Al2)O22(OH)2,K Ca Mg Al Si O H,IMA1994-046,3695,Finland,Approved|Redefined,Amphibole,monoclinic,K Ca Mg Al Si O H,
Potassic-richterite,Potassic-richterite,K(NaCa)Mg5Si8O22(OH)2,K(NaCa)Mg5Si8O22(OH)2,K Na Ca Mg Si O H,IMA2017-102,6727,Sweden,Pending publication|Approved,Amphibole,monoclinic,K Na Ca Mg Si O H,
Potassic-sadanagaite,Potassic-sadanagaite,KCa2Mg3Al2(Si5Al3)O22(OH)2,KCa2(Mg3Al2)(Si5Al3)O22(OH)2,K Ca Mg Al Si O H,IMA1982-102,3692,Japan,Approved|Redefined,Amphibole,monoclinic,K Ca Mg Al Si O H,
Pottsite,Pottsite,(Pb2+3Bi3+)Bi3+(V5+O4)4·H2O,(Pb3Bi)Bi(VO4)4·H2O,Pb Bi V O H,IMA1986-045,3700,USA,Approved,Pottsite,tetragonal,Pb^2+ Bi^3+ V^5+ O H,
Poubaite,Poubaite,"Pb2+Bi3+2(Se2-,Te2-,S2-)4","PbBi2(Se,Te,S)4",Pb Bi Se Te S,IMA1975-015,3701,Czech Republic,Approved,Tetradymite,hexagonal,Pb^2+ Bi^3+ Se^2- Te^2- S^2-,
Poudretteite,Poudretteite,KNa2(B3Si12)O30,KNa2(B3Si12)O30,K Na B Si O,IMA1986-028,3702,Canada,Approved,Milarite,hexagonal,K Na B Si O,
Poughite,Poughite,Fe3+2(Te4+O3)2S6+O4·3H2O,Fe3+2(Te4+O3)2(SO4)·3H2O,Fe Te O S H,IMA1966-048,3703,Mexico,Approved, ,orthorhombic,Fe^3+ Te^4+ O S^6+ H,
Povondraite,Povondraite,NaFe3+3(Fe3+4Mg2)(Si6O18)(BO3)3(OH)3O,NaFe3+3(Fe3+4Mg2)(Si6O18)(BO3)3(OH)3O,Na Fe Mg Si O B H,IMA1990 s.p.,3704,Bolivia,Approved|Renamed,Tourmaline,hexagonal,Na Fe^3+ Mg Si O B H,
Powellite,Powellite,CaMo6+O4,Ca(MoO4),Ca Mo O,,3705,USA,Grandfathered|Approved,Scheelite,tetragonal,Ca Mo^6+ O,
Poyarkovite,Poyarkovite,Hg3OCl,Hg3OCl,Hg O Cl,IMA1980-099,3706,Kyrgyzstan,Approved, ,monoclinic,Hg O Cl,
Prachařite,Pracharite,CaSb5+2(As3+2O5)2O2·10H2O,CaSb5+2(As3+2O5)2O2·10H2O,Ca Sb As O H,IMA2018-081,6811,Greece,Pending publication|Approved, ,hexagonal,Ca Sb^5+ As^3+ O H,
Pradetite,Pradetite,Co2+Cu2+4(As5+O4)2(As5+O3OH)2·9H2O,CoCu4(AsO4)2(AsO3OH)2·9H2O,Co Cu As O H,IMA1991-046,5579,France,Approved|Redefined,Lindackerite,triclinic,Co^2+ Cu^2+ As^5+ O H,
Prehnite,Prehnite,Ca2Al(Si3Al)O10(OH)2,Ca2Al(Si3Al)O10(OH)2,Ca Al Si O H,,3707,South Africa,Grandfathered|Approved, ,orthorhombic,Ca Al Si O H,
Preisingerite,Preisingerite,Bi3+3O(As5+O4)2(OH),Bi3O(AsO4)2(OH),Bi O As H,IMA1981-016,3708,Argentina,Approved, ,triclinic,Bi^3+ O As^5+ H,
Preiswerkite,Preiswerkite,NaAlMg2(Si2Al2)O10(OH)2,NaAlMg2(Si2Al2)O10(OH)2,Na Al Mg Si O H,IMA1979-008,3709,Switzerland,Approved,Mica,monoclinic,Na Al Mg Si O H,
Preobrazhenskite,Preobrazhenskite,Mg3B11O15(OH)9,Mg3B11O15(OH)9,Mg B O H,,3710,Kazakhstan,Grandfathered|Approved, ,orthorhombic,Mg B O H,
Pretulite,Pretulite,Sc3+P5+O4,Sc(PO4),Sc P O,IMA1996-024,3711,Austria,Approved,Zircon,tetragonal,Sc^3+ P^5+ O,
Prewittite,Prewittite,KPb2+1.5Zn2+Cu2+6O2(Se4+O3)2Cl1-10,KPb1.5ZnCu6O2(SeO3)2Cl10,K Pb Zn Cu O Se Cl,IMA2002-041,5200,Russia,Approved, ,orthorhombic,K Pb^2+ Zn^2+ Cu^2+ O Se^4+ Cl^1-,
Příbramite,Pribramite,Cu1+Sb3+Se2-2,CuSbSe2,Cu Sb Se,IMA2015-127,6528,Czech Republic,Approved,Chalcostibite,orthorhombic,Cu^1+ Sb^3+ Se^2-,
Priceite,Priceite,Ca2B5O7(OH)5·H2O,Ca2B5O7(OH)5·H2O,Ca B O H,,4895,USA,Grandfathered|Approved, ,monoclinic,Ca B O H,
Priderite,Priderite,K(Ti4+7Fe3+)O16,K(Ti7Fe3+)O16,K Ti Fe O,,3712,Australia,Grandfathered|Approved,Coronadite,tetragonal,K Ti^4+ Fe^3+ O,
Pringleite,Pringleite,Ca9B26O34(OH)24Cl4·13H2O,Ca9B26O34(OH)24Cl4·13H2O,Ca B O H Cl,IMA1992-010,3713,Canada,Approved, ,triclinic,Ca B O H Cl,
Priscillagrewite-(Y),Priscillagrewite-(Y),YCa2Zr4+2Al3O12,YCa2Zr2Al3O12,Y Ca Zr Al O,IMA2020-002,7020,Jordan,Pending publication|Approved,Garnet,,Y Ca Zr^4+ Al O,
Prismatine,Prismatine,"(Mg,Al,Fe2+,Fe3+)6Al4(Si,Al)4(B,Si,Al)(O,OH,F)22","(Mg,Al,Fe)6Al4(Si,Al)4(B,Si,Al)(O,OH,F)22",Mg Al Fe Si B O H F,,3714,Germany,Approved|Redefined,Kornerupine,orthorhombic,Mg Al Fe^2+ Fe^3+ Si B O H F,
Probertite,Probertite,NaCaB5O7(OH)4·3H2O,NaCaB5O7(OH)4·3H2O,Na Ca B O H,,3715,USA,Grandfathered|Approved, ,monoclinic,Na Ca B O H,
Proshchenkoite-(Y),Proshchenkoite-(Y),"(Y3+,Ce3+,Ca,Na,Mn2+)15CaFe2+(P5+,Si)Si6B3O34F14","(Y,REE,Ca,Na,Mn)15Fe2+Ca(P,Si)Si6B3(O,F)48",Y REE Ca Na Mn Fe P Si B O F,IMA2008-007,5666,Russia,Approved,Okanoganite,hexagonal,Y^3+ Ce^3+ Ca Na Mn^2+ Fe^2+ P^5+ Si B O F,
Prosopite,Prosopite,CaAl2F4(OH)4,CaAl2F4(OH)4,Ca Al F O H,,3716,Germany,Grandfathered|Approved, ,monoclinic,Ca Al F O H,
Prosperite,Prosperite,Ca2Zn2+4(As5+O4)4·H2O,Ca2Zn4(AsO4)4·H2O,Ca Zn As O H,IMA1978-028,3717,Namibia,Approved, ,monoclinic,Ca Zn^2+ As^5+ O H,
Protasite,Protasite,Ba(U6+O2)3O3(OH)2·3H2O,Ba(UO2)3O3(OH)2·3H2O,Ba U O H,IMA1984-001,3718,Democratic Republic of the Congo,Approved, ,monoclinic,Ba U^6+ O H,
Proto-anthophyllite,Proto-anthophyllite,Mg7Si8O22(OH)2,[box]Mg2Mg5Si8O22(OH)2,Mg Si O H,IMA2001-065,5141,Japan,Approved|Redefined,Amphibole,orthorhombic,Mg Si O H,
Protochabournéite,Protochabourneite,"Tl1+5-xPb2+2x(Sb3+,As3+)21-xS2-34 (x~1.2-1.5)","Tl2Pb(Sb,As)10S17",Tl Pb Sb As S,IMA2011-054,5998,Italy,Approved,Chabournéite,triclinic,Tl^1+ Pb^2+ Sb^3+ As^3+ S^2-,
Protoenstatite,Protoenstatite,Mg2Si2O6,Mg2Si2O6,Mg Si O,IMA2016-117,6643,USA,Approved,Pyroxene,orthorhombic,Mg Si O,
Proto-ferro-anthophyllite,Proto-ferro-anthophyllite,Fe2+7Si8O22(OH)2,[box]Fe2+2Fe2+5Si8O22(OH)2,Fe Si O H,IMA1986-006,3719,USA,Approved|Redefined,Amphibole,orthorhombic,Fe^2+ Si O H,
Proto-ferro-suenoite,Proto-ferro-suenoite,[box]Mn2+2Fe2+5Si8O22(OH)2,[box]Mn2+2Fe2+5Si8O22(OH)2,Mn Fe Si O H,IMA1986-007,3720,Japan,Approved|Redefined,Amphibole,orthorhombic,Mn^2+ Fe^2+ Si O H,
Proudite,Proudite,"Cu1+2Pb2+16Bi3+20(S2-,Se2-)47","Cu2Pb16Bi20(S,Se)47",Cu Pb Bi S Se,IMA1975-028,3721,Australia,Approved, ,monoclinic,Cu^1+ Pb^2+ Bi^3+ S^2- Se^2-,
Proustite,Proustite,Ag1+3As3+S2-3,Ag3AsS3,Ag As S,,3722,unknown,Grandfathered|Approved, ,hexagonal,Ag^1+ As^3+ S^2-,
Proxidecagonite,Proxidecagonite,Al34Ni9Fe2,Al34Ni9Fe2,Al Ni Fe,IMA2018-038,6762,Russia (meteorite),Approved, ,orthorhombic,Al Ni Fe,
Przhevalskite,Przhevalskite,Pb2+(U6+O2)2(P5+O4)2·4H2O,Pb(UO2)2(PO4)2·4H2O,Pb U O P H,,3723,Tajikistan,Questionable mineral species|Approved, ,,Pb^2+ U^6+ O P^5+ H,
Pseudoboleite,Pseudoboleite,Pb2+31Cu2+24Cl62(OH)48,Pb31Cu24Cl62(OH)48,Pb Cu Cl O H,IMA2007 s.p.,3724,Mexico,Approved|Renamed, ,tetragonal,Pb^2+ Cu^2+ Cl O H,
Pseudobrookite,Pseudobrookite,(Fe3+2Ti4+)O5,(Fe3+2Ti)O5,Fe Ti O,,3725,Romania,Approved|Redefined,Pseudobrookite,orthorhombic|tetragonal,Fe^3+ Ti^4+ O,
Pseudocotunnite,Pseudocotunnite,K2Pb2+Cl4,K2PbCl4 (?),K Pb Cl,,5143,Italy,Questionable mineral species|Approved, ,,K Pb^2+ Cl,
Pseudograndreefite,Pseudograndreefite,Pb2+6(S6+O4)F10,Pb6(SO4)F10,Pb S O F,IMA1988-017,3726,USA,Approved, ,orthorhombic,Pb^2+ S^6+ O F,
Pseudojohannite,Pseudojohannite,Cu2+3(U6+O2)4O4(S6+O4)2(OH)2·12H2O,Cu3(OH)2[(UO2)4O4(SO4)2]·12H2O,Cu O H U S,IMA2000-019,5473,Czech Republic,Approved, ,triclinic,Cu^2+ U^6+ O S^6+ H,
Pseudolaueite,Pseudolaueite,Mn2+Fe3+2(PO4)2(OH)2·8H2O,Mn2+Fe3+2(PO4)2(OH)2·8H2O,Mn Fe P O H,,3727,Germany,Grandfathered|Approved,Stewartite,monoclinic,Mn^2+ Fe^3+ P O H,
Pseudolyonsite,Pseudolyonsite,Cu2+3(V5+O4)2,Cu3(VO4)2,Cu V O,IMA2009-062,5790,Russia,Approved, ,monoclinic,Cu^2+ V^5+ O,
Pseudomalachite,Pseudomalachite,Cu2+5(P5+O4)2(OH)4,Cu5(PO4)2(OH)4,Cu P O H,,3728,Germany,Grandfathered|Approved, ,monoclinic|unknown,Cu^2+ P^5+ O H,
