Mineral Name,Mineral Name (plain),RRUFF Chemistry (plain),IMA Chemistry (plain),Chemistry Elements,IMA Number,Database ID,Country of Type Locality,IMA Status,Structural Groupname,Crystal Systems,Valence Elements,Image
Combeite,Combeite,Na2Ca2Si3O9,Na4.5Ca3.5Si6O17.5(OH)0.5,Na Ca Si O H,,1539,Democratic Republic of the Congo,Grandfathered|Approved,Lovozerite-Zirsinalite–Lovozerite,hexagonal,Na Ca Si O,
Comblainite,Comblainite,Ni2+4Co3+2C4+O3(OH)12·3H2O,Ni4Co3+2(CO3)(OH)12·3H2O,Ni Co C O H,IMA1978-009,1540,Democratic Republic of the Congo,Approved,Hydrotalcite,hexagonal,Ni^2+ Co^3+ C^4+ O H,
Compreignacite,Compreignacite,K2(U6+O2)6O4(OH)6·7H2O,K2(UO2)6O4(OH)6·7H2O,K U O H,IMA1964-026,1541,France,Approved,Compreignacite,orthorhombic,K U^6+ O H,
Congolite,Congolite,Fe2+3B7O13Cl,Fe2+3B7O13Cl,Fe B O Cl,IMA1971-030,1542,Republic of the Congo,Approved,Boracite,hexagonal,Fe^2+ B O Cl,
Conichalcite,Conichalcite,CaCu2+As5+O4(OH),CaCu(AsO4)(OH),Ca Cu As O H,,1543,Spain,Grandfathered|Approved,Adelite,orthorhombic,Ca Cu^2+ As^5+ O H,
Connellite,Connellite,Cu2+36(S6+O4)(OH)62Cl8·6H2O,Cu36(SO4)(OH)62Cl8·6H2O,Cu S O H Cl,,1544,USA,Grandfathered|Approved,Connellite,hexagonal,Cu^2+ S^6+ O H Cl,
Cookeite,Cookeite,LiAl4(Si3Al)O10(OH)8,"(Al,Li)3Al2(Si,Al)4O10(OH)8",Al Li Si O H,,1545,USA,Grandfathered|Approved,Clay,monoclinic,Li Al Si O H,
Coombsite,Coombsite,KMn2+13Si18O42(OH)15,"KMn2+13(Si,Al)18O42(OH)14",K Mn Si Al O H,IMA1989-058,1546,New Zealand,Approved, ,tetragonal|hexagonal,K Mn^2+ Si O H,
Cooperite,Cooperite,PtS,PtS,Pt S,,1547,South Africa,Grandfathered|Approved, ,tetragonal,Pt S,
Coparsite,Coparsite,Cu2+4O2As5+O4Cl,Cu2+4O2(AsO4)Cl,Cu O As Cl,IMA1996-064,1548,Russia,Approved, ,orthorhombic,Cu^2+ O As^5+ Cl,
Copiapite,Copiapite,Fe2+Fe3+4(S6+O4)6(OH)2·20H2O,Fe2+Fe3+4(SO4)6(OH)2·20H2O,Fe S O H,,1549,Chile,Grandfathered|Approved,Copiapite,triclinic,Fe^2+ Fe^3+ S^6+ O H,
Copper,Copper,Cu,Cu,Cu,,1550,unknown,Grandfathered|Approved,Copper,cubic,Cu,
Coquandite,Coquandite,Sb3+6+xO8+x(S6+O4)(OH)x(H2O)1-x (x = 0.3),Sb3+6+xO8+x(SO4)(OH)x(H2O)1-x (x = 0.3),Sb O S H,IMA1991-024,1551,Italy,Approved, ,triclinic,Sb^3+ O S^6+ H,
Coquimbite,Coquimbite,AlFe3+3(S6+O4)6(H2O)12·6H2O,AlFe3(SO4)6(H2O)12·6H2O,Al Fe S O H,,1552,Chile,Grandfathered|Approved,Coquimbite,hexagonal,Al Fe^3+ S^6+ O H,
Coralloite,Coralloite,Mn2+Mn3+2(As5+O4)2(OH)2·4H2O,Mn2+Mn3+2(AsO4)2(OH)2·4H2O,Mn As O H,IMA2010-012,5839,Italy,Approved,Arthurite,triclinic,Mn^2+ Mn^3+ As^5+ O H,
Corderoite,Corderoite,Hg3S2Cl2,Hg3S2Cl2,Hg S Cl,IMA1973-037,1553,USA,Approved, ,cubic,Hg S Cl,
Cordierite,Cordierite,Mg2Al3(AlSi5)O18,Mg2Al4Si5O18,Mg Al Si O,,1554,Germany ?,Grandfathered|Approved,Beryl,orthorhombic,Mg Al Si O,
Cordylite-(Ce),Cordylite-(Ce),"(Na,Ca,[box])BaCe2(CO3)4(F,O)","(Na,Ca,[box])BaCe2(CO3)4(F,O)",Na Ca Ba Ce C O F,"IMA2000-C, IMA1987 s.p.",1555,Denmark (Greenland),Approved|Renamed,Cordylite,hexagonal,Na Ca Ba Ce C O F,
Cordylite-(La),Cordylite-(La),NaCaBa2La3Sr(CO3)8F2,NaCaBa2La3Sr(CO3)8F2,Na Ca Ba La Sr C O F,IMA2010-058,5883,Russia,Approved,Cordylite,hexagonal,Na Ca Ba La Sr C O F,
Corkite,Corkite,Pb2+Fe3+3(S6+O4)(PO4)(OH)6,PbFe3+3(SO4)(PO4)(OH)6,Pb Fe S O P H,,1556,Ireland,Approved|Redefined,Alunite-beudantite,hexagonal,Pb^2+ Fe^3+ S^6+ O P H,
Cornetite,Cornetite,Cu2+3P5+O4(OH)3,Cu3(PO4)(OH)3,Cu P O H,,1557,Democratic Republic of the Congo,Grandfathered|Approved, ,orthorhombic,Cu^2+ P^5+ O H,
Cornubite,Cornubite,Cu2+5(As5+O4)2(OH)4,Cu5(AsO4)2(OH)4,Cu As O H,,1558,United Kingdom,Approved, ,triclinic,Cu^2+ As^5+ O H,
Cornwallite,Cornwallite,Cu2+5(As5+O4)2(OH)4,Cu5(AsO4)2(OH)4,Cu As O H,,1559,United Kingdom,Grandfathered|Approved, ,monoclinic,Cu^2+ As^5+ O H,
Coronadite,Coronadite,Pb2+(Mn4+6Mn3+2)O16,Pb(Mn4+6Mn3+2)O16,Pb Mn O,,1560,USA,Grandfathered|Approved,Coronadite,monoclinic|tetragonal,Pb^2+ Mn^4+ Mn^3+ O,
Correianevesite,Correianevesite,Fe2+Mn2+2(PO4)2·3H2O,Fe2+Mn2+2(PO4)2·3H2O,Fe Mn P O H,IMA2013-007,6170,Brasil,Approved,Reddingite,orthorhombic,Fe^2+ Mn^2+ P O H,
Corrensite,Corrensite,"(Ca,Na,K)1-x(Mg,Fe2+,Al)9(Si,Al)8O20(OH)10·nH2O","(Ca,Na,K)1-x(Mg,Fe,Al)9(Si,Al)8O20(OH)10·nH2O",Ca Na K Mg Fe Al Si O H,,1561,Germany,Grandfathered|Approved,Clay,,Ca Na K Mg Fe^2+ Al Si O H,
Cortesognoite,Cortesognoite,CaV3+2Si2O7(OH)2·H2O,CaV2Si2O7(OH)2·H2O,Ca V Si O H,IMA2014-029,6321,Italy,Pending publication|Approved,Lawsonite,orthorhombic,Ca V^3+ Si O H,
Corundum,Corundum,Al2O3,Al2O3,Al O,,1562,India ?,Grandfathered|Approved,Corundum,hexagonal,Al O,
Corvusite,Corvusite,"(Na,Ca,K)1-x(V5+,V4+,Fe2+)8O20·4H2O","(Na,Ca,K)1-x(V5+,V4+,Fe2+)8O20·4H2O",Na Ca K V Fe O H,,1563,USA,Grandfathered|Approved,Straczekite,monoclinic|unknown,Na Ca K V^5+ V^4+ Fe^2+ O H,
Cosalite,Cosalite,Pb2+2Bi3+2S2-5,Pb2Bi2S5,Pb Bi S,,1564,Mexico,Grandfathered|Approved, ,orthorhombic,Pb^2+ Bi^3+ S^2-,
Coskrenite-(Ce),Coskrenite-(Ce),Ce2(S6+O4)2((C2)6+O4)·8H2O,Ce2(SO4)2(C2O4)·8H2O,Ce S O C H,IMA1996-056,1565,USA,Approved, ,triclinic,Ce S^6+ O C H,
Cossaite,Cossaite,"(Mg0.5,[box])Al6(S6+O4)6(HS6+O4)F6·36H2O","(Mg0.5,[box])Al6(SO4)6(HSO4)F6·36H2O",Mg Al S O H F,IMA2009-031,5758,Italy,Approved, ,hexagonal,Mg Al S^6+ O H F,
Costibite,Costibite,Co3+(SbS)3-,CoSbS,Co Sb S,IMA1969-014,1566,Australia,Approved,Löllingite,orthorhombic,Co^3+ Sb S,
Cotunnite,Cotunnite,Pb2+Cl2,PbCl2,Pb Cl,,1567,Italy,Grandfathered|Approved, ,orthorhombic,Pb^2+ Cl,
Coulsonite,Coulsonite,Fe2+V3+2O4,Fe2+V3+2O4,Fe V O,,1568,India,Approved|Redefined,Spinel,cubic,Fe^2+ V^3+ O,
Cousinite,Cousinite,MgU4+2(Mo6+O4)2(OH)6·2H2O (?),MgU4+2(MoO4)2(OH)6·2H2O (?),Mg U Mo O H,,5081,Democratic Republic of the Congo,Questionable mineral species|Approved, ,,Mg U^4+ Mo^6+ O H,
Coutinhoite,Coutinhoite,Th4+xBa1-2x(U6+O2)2Si5O13·3H2O,ThxBa1-2x(UO2)2Si5O13·3H2O,Th Ba U O Si H,IMA2003-025,4981,Brazil,Approved, ,orthorhombic,Th^4+ Ba U^6+ O Si H,
Covellite,Covellite,Cu1+S,CuS,Cu S,,1569,Italy,Grandfathered|Approved, ,hexagonal,Cu^1+ S,
Cowlesite,Cowlesite,Ca(Al2Si3)O10·5-6H2O,Ca(Al2Si3)O10·5-6H2O,Ca Al Si O H,IMA1975-016,1570,USA,Approved, ,orthorhombic,Ca Al Si O H,
Coyoteite,Coyoteite,NaFe3+3S2-5·2H2O,NaFe3S5·2H2O,Na Fe S H O,IMA1978-042,1571,USA,Approved, ,triclinic,Na Fe^3+ S^2- H O,
Crandallite,Crandallite,CaAl3(PO4)(PO3OH)(OH)6,CaAl3(PO4)(PO3OH)(OH)6,Ca Al P O H,,1572,USA,Approved|Redefined,Alunite-crandallite,hexagonal,Ca Al P O H,
Cranswickite,Cranswickite,MgS6+O4·4H2O,Mg(SO4)·4H2O,Mg S O H,IMA2010-016,5845,Argentina,Approved, ,monoclinic,Mg S^6+ O H,
Crawfordite,Crawfordite,Na3Sr(PO4)(CO3),Na3Sr(PO4)(CO3),Na Sr P O C,IMA1993-030,1573,Russia,Approved,Bradleyite,monoclinic,Na Sr P O C,
Creaseyite,Creaseyite,Cu2+2Pb2+2Fe3+2Si5O17·6H2O,Cu2Pb2Fe3+2Si5O17·6H2O,Cu Pb Fe Si O H,IMA1974-044,1574,USA,Approved, ,orthorhombic,Cu^2+ Pb^2+ Fe^3+ Si O H,
Crednerite,Crednerite,Cu1+Mn3+O2,CuMnO2,Cu Mn O,,1575,Germany,Grandfathered|Approved, ,monoclinic,Cu^1+ Mn^3+ O,
Creedite,Creedite,Ca3Al2(S6+O4)(OH)2F8·2H2O,Ca3Al2(SO4)(OH)2F8·2H2O,Ca Al S O H F,,1576,USA,Grandfathered|Approved, ,monoclinic,Ca Al S^6+ O H F,
Crerarite,Crerarite,"(Pt,Pb2+)Bi3(S2-,Se2-)4-x (x = 0.4-0-8)","(Pt,Pb)Bi3(S,Se)4-x (x = 0.4-0-8)",Pt Pb Bi S Se,IMA1994-003,1577,Canada,Approved,Rocksalt,cubic,Pt Pb^2+ Bi S^2- Se^2-,
Crichtonite,Crichtonite,"Sr(Mn2+,Y3+,U6+)Fe2+2(Ti4+,Fe3+,Cr3+,V5+)18(O,OH)38","Sr(Mn,Y,U)Fe2(Ti,Fe,Cr,V)18(O,OH)38",Sr Mn Y U Fe Ti Cr V O H,,1578,France,Approved,Crichtonite,rhombohedral|hexagonal,Sr Mn^2+ Y^3+ U^6+ Fe^2+ Ti^4+ Fe^3+ Cr^3+ V^5+ O H,
Criddleite,Criddleite,Ag2Au3TlSb10S10,Ag2Au3TlSb10S10,Ag Au Tl Sb S,IMA1987-037,1579,Canada,Approved, ,monoclinic,Ag Au Tl Sb S,
Crimsonite,Crimsonite,Pb2+Fe3+2(P5+O4)2(OH)2,PbFe3+2(PO4)2(OH)2,Pb Fe P O H,IMA2014-095,6393,USA,Approved,Carminite,orthorhombic,Pb^2+ Fe^3+ P^5+ O H,
Cristobalite,Cristobalite,SiO2,SiO2,Si O,,1580,Mexico,Grandfathered|Approved,Cristobalite,tetragonal|orthorhombic,Si O,
Crocobelonite,Crocobelonite,CaFe3+2O(PO4)2,CaFe3+2O(PO4)2,Ca Fe O P,IMA2020-005,7022,Jordan,Pending publication|Approved, ,,Ca Fe^3+ O P,
